,,,,,,,,,,,,,,,,,,,,,
Player ID:,700561,,,,,,,,,,,,,,,,,,,,
Player Name:,Austin Steinfort,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number
71,Tue Apr 19 2022 8:52:43 PM,1650401563,Cutter,N,19.02,48.92,87.5,2289.3,2080.5,90.9,0:58,0.9,16.6,9.1,-1.22,0.70,5.01,1.56,24.66,700561@1650401563,RBB21YIQQ31R
72,Tue Apr 19 2022 8:53:22 PM,1650401602,Fastball,Y,-1.40,32.33,89.33,2322.3,2196.2,94.6,1:6,1,16.6,10.9,-2.55,-1.26,5.04,1.35,18.97,700561@1650401602,RBB21YIQQ31R
73,Tue Apr 19 2022 8:53:37 PM,1650401617,Cutter,N,0.22,-2.21,74.92,2522.5,1334.4,52.9,6:16,0.9,-12.3,-3.2,-1.00,-0.94,5.20,1.23,58.06,700561@1650401617,RBB21YIQQ31R
74,Tue Apr 19 2022 8:53:50 PM,1650401630,Cutter,N,19.68,35.48,79.85,1483.4,1345.7,90.7,1:28,0.9,11.6,11.1,-0.99,1.02,4.84,1.55,24.88,700561@1650401630,RBB21YIQQ31R
75,Tue Apr 19 2022 9:02:30 PM,1650402150,CurveBall,Y,8.92,24.71,63.54,2168.6,2000.2,92.2,6:14,0.9,-21.6,-3.9,0.00,2.74,6.20,1.11,22.73,700561@1650402150,RBB21YIQQ31R
76,Tue Apr 19 2022 9:02:52 PM,1650402172,Cutter,N,17.30,56.26,82.81,1919.9,1890.9,98.5,1:4,1,16.6,10.4,-1.18,0.04,6.19,1.58,9.97,700561@1650402172,RBB21YIQQ31R
77,Tue Apr 19 2022 9:03:46 PM,1650402226,Fastball,N,10.78,44.50,89.39,2131.9,2010,94.3,1:12,0.9,15.4,11.3,-1.15,-1.39,6.06,1.25,19.47,700561@1650402226,RBB21YIQQ31R
78,Tue Apr 19 2022 9:04:25 PM,1650402265,CurveBall,N,25.31,38.80,68.03,2125.8,1993.5,93.8,6:24,0.8,-21.3,-5.5,1.49,2.86,6.12,0.97,20.32,700561@1650402265,RBB21YIQQ31R
79,Tue Apr 19 2022 9:05:04 PM,1650402304,Fastball,N,13.32,42.15,92.38,2377.1,2337.4,98.3,0:42,0.8,19.2,7.3,-1.14,-1.00,6.02,1.29,10.49,700561@1650402304,RBB21YIQQ31R
80,Tue Apr 19 2022 9:05:53 PM,1650402353,Splitter,N,3.18,11.97,80.81,1238.3,1171.2,94.6,1:18,0.9,12.0,9.7,-2.49,-2.70,5.91,1.37,18.94,700561@1650402353,RBB21YIQQ31R
81,Tue Apr 19 2022 9:06:38 PM,1650402398,Cutter,Y,3.09,32.14,85.81,2339.8,1034.4,44.2,1:20,0.9,7.1,5.6,-1.65,-1.77,6.05,1.31,63.76,700561@1650402398,RBB21YIQQ31R
82,Tue Apr 19 2022 9:07:26 PM,1650402446,Splitter,Y,7.77,19.78,78.68,1186.8,928.2,78.2,1:46,0.9,7.7,9.7,-1.61,-1.45,6.02,1.48,38.55,700561@1650402446,RBB21YIQQ31R
83,Tue Apr 19 2022 9:07:54 PM,1650402474,Fastball,N,19.31,39.01,91.46,2335,2333.2,99.9,0:54,1,18.5,9.7,-0.52,-1.86,5.92,1.16,2.19,700561@1650402474,RBB21YIQQ31R
84,Tue Apr 19 2022 9:08:22 PM,1650402502,Splitter,N,-3.89,-4.26,79.85,891.1,888.2,99.7,1:48,0.8,8.0,11.0,-2.21,-3.98,5.95,1.32,-4.60,700561@1650402502,RBB21YIQQ31R
85,Tue Apr 19 2022 9:08:53 PM,1650402533,Fastball,Y,7.30,38.44,89.34,2404.5,2397.9,99.7,0:50,0.9,19.4,9.1,-1.67,-2.11,6.04,1.18,4.25,700561@1650402533,RBB21YIQQ31R
86,Tue Apr 19 2022 9:09:17 PM,1650402557,CurveBall,N,-4.05,9.31,71.28,2325.1,2128.9,91.6,6:20,0.9,-21.2,-4.5,-0.79,0.33,6.12,0.79,23.70,700561@1650402557,RBB21YIQQ31R
87,Tue Apr 19 2022 9:10:18 PM,1650402618,Splitter,N,-0.28,13.60,81.07,927.4,857.8,92.5,1:54,1,6.8,10.4,-2.30,-2.20,5.93,1.21,22.34,700561@1650402618,RBB21YIQQ31R
88,Tue Apr 19 2022 9:10:41 PM,1650402641,Cutter,Y,3.77,19.18,86.68,2344.6,1617.1,69,1:2,1,12.8,7.3,-1.87,-2.70,5.90,1.36,46.39,700561@1650402641,RBB21YIQQ31R
89,Tue Apr 19 2022 9:11:17 PM,1650402677,Fastball,Y,-2.31,24.93,91.08,2362.9,2328,98.5,1:6,1,17.4,11.6,-2.50,-3.20,6.13,1.15,9.85,700561@1650402677,RBB21YIQQ31R
90,Tue Apr 19 2022 9:11:40 PM,1650402700,CurveBall,N,-11.27,22.99,70.89,2312.4,1858.9,80.4,6:10,0.7,-18.4,-2.8,-1.10,3.24,5.69,1.02,36.50,700561@1650402700,RBB21YIQQ31R
91,Tue Apr 19 2022 9:12:08 PM,1650402728,Fastball,Y,1.63,21.08,89.6,1988.3,1979.1,99.5,11:38,0.7,19.5,-3.5,-2.20,-3.71,5.95,1.04,-5.48,700561@1650402728,RBB21YIQQ31R
92,Tue Apr 19 2022 9:12:51 PM,1650402771,Fastball,Y,5.47,34.99,92.64,2449.8,2429.1,99.2,1:2,0.9,18.2,10.9,-2.01,-2.85,6.17,1.15,7.46,700561@1650402771,RBB21YIQQ31R
