last_name, first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
Márquez, Germán,608566,COL,CUKC,Curveball,-0.3,-1,507,18.2,158,0.144,0.203,0.185,42.7,53.8,26.6,0.148,0.195,0.171,32.4
Ruiz, José,614179,CWS,FF,4-Seamer,-0.6,-4,617,59.5,158,0.217,0.406,0.312,21.8,17.7,16.7,0.248,0.471,0.349,50.9
Cishek, Steve,518553,LAA,SIFT,Sinker,-0.6,-3,556,44.3,158,0.276,0.336,0.345,12.3,12.7,15.9,0.251,0.346,0.324,31.9
Boxberger, Brad,502202,MIL,FF,4-Seamer,-1.7,-10,600,55.9,157,0.181,0.333,0.274,33.5,39.5,26.5,0.192,0.351,0.283,46.8
Lester, Jon,452657,STL,FC,Cutter,1.1,7,609,25.6,157,0.293,0.536,0.386,16.7,19.7,15.6,0.253,0.451,0.341,35.1
Brentz, Jake,641394,KC,FF,4-Seamer,-0.7,-4,645,58.3,157,0.211,0.333,0.329,21.8,21.7,23.4,0.228,0.362,0.34,40.2
Kikuchi, Yusei,579328,SEA,SL,Slider,1,5,484,18.9,157,0.266,0.468,0.32,31.2,31.2,25.5,0.238,0.416,0.286,43.8
Hendriks, Liam,521230,CWS,FF,4-Seamer,-2.2,-17,761,67.3,157,0.216,0.379,0.265,30.3,28,21.8,0.218,0.437,0.285,44
Alexander, Tyler,641302,DET,FC,Cutter,-0.4,-2,581,35.4,157,0.239,0.437,0.319,18.4,19.1,19.4,0.23,0.391,0.292,30.4
Fried, Max,608331,ATL,CUKC,Curveball,-1.2,-8,657,25.7,157,0.16,0.253,0.2,34.8,42.7,26.3,0.165,0.253,0.203,30.1
Ynoa, Huascar,660623,ATL,FF,4-Seamer,-0.1,-1,600,40.5,156,0.254,0.529,0.364,14.6,14.7,15.2,0.305,0.571,0.4,55.6
Montgomery, Jordan,656756,NYY,SIFT,Sinker,0.7,4,564,21.9,156,0.359,0.489,0.427,11.7,6.4,10.2,0.344,0.524,0.421,42.6
Minor, Mike,501985,KC,SL,Slider,0.9,5,573,21.9,156,0.255,0.511,0.37,25.9,19.2,20.4,0.293,0.583,0.4,44.1
Scott, Tanner,656945,BAL,SL,Slider,1.1,6,532,51.6,156,0.25,0.364,0.334,46,34.6,26.9,0.218,0.324,0.302,27.8
Dobnak, Randy,677976,MIN,SIFT,Sinker,-0.5,-2,449,58.7,155,0.299,0.431,0.355,8,6.5,15.6,0.32,0.463,0.365,58.5
Smith, Caleb,592761,ARI,SL,Slider,0.5,3,612,29.6,155,0.193,0.357,0.284,29.6,31,22.3,0.188,0.306,0.259,28.3
Peralta, Wily,503449,DET,SIFT,Sinker,0.1,0,480,30.9,155,0.328,0.533,0.406,11.6,5.8,9.3,0.309,0.511,0.392,46.5
Pivetta, Nick,601713,BOS,SL,Slider,0.7,4,594,21.6,154,0.25,0.471,0.344,31.1,22.7,20.6,0.228,0.393,0.309,35.6
Lynn, Lance,458681,CWS,SIFT,Sinker,-1.4,-7,485,18.6,154,0.243,0.404,0.331,14.7,14.9,16.8,0.235,0.373,0.304,32.8
Pérez, Martín,527048,BOS,FC,Cutter,2.1,11,542,29.1,154,0.331,0.549,0.416,14.5,17.5,21.1,0.32,0.546,0.42,50.5
Diekman, Jake,518617,OAK,FF,4-Seamer,0.2,1,630,56.4,154,0.244,0.473,0.362,31.6,27.9,21.8,0.243,0.465,0.358,45.5
Crowe, Wil,640444,PIT,FF,4-Seamer,2.1,16,758,34.9,153,0.328,0.597,0.464,20.4,20.9,15.8,0.236,0.476,0.383,40.4
Jansen, Kenley,445276,LAD,FC,Cutter,-1.8,-11,621,58,153,0.176,0.248,0.273,31.9,24.2,24.8,0.213,0.332,0.317,24.2
Giolito, Lucas,608337,CWS,SL,Slider,-1.4,-9,638,21.5,153,0.173,0.353,0.245,38.3,28.8,18.5,0.2,0.332,0.235,34
Walker, Taijuan,592836,NYM,SIFT,Sinker,-0.4,-2,553,21.7,153,0.275,0.374,0.352,16.5,14.4,15.3,0.268,0.415,0.354,33
Skubal, Tarik,669373,DET,SL,Slider,-1.1,-6,581,22.8,153,0.204,0.327,0.248,29.1,33.3,22.6,0.207,0.34,0.247,35.1
Kershaw, Clayton,477132,LAD,FF,4-Seamer,0.8,5,662,36.7,152,0.299,0.453,0.361,16.9,7.9,13.3,0.308,0.482,0.367,35.9
Mize, Casey,663554,DET,FF,4-Seamer,-0.5,-4,685,29.1,152,0.224,0.455,0.332,25.3,30.3,17.9,0.223,0.465,0.332,47.2
Mayza, Tim,641835,TOR,SIFT,Sinker,-1.1,-6,597,71,152,0.196,0.283,0.256,17.6,21.1,20.6,0.237,0.33,0.285,29
DeSclafani, Anthony,543101,SF,SIFT,Sinker,-1.6,-8,476,18.6,152,0.187,0.288,0.255,15.5,23.7,19.1,0.208,0.362,0.282,35
Kinley, Tyler,641755,COL,SL,Slider,-0.5,-3,604,52.8,152,0.206,0.355,0.269,38.8,34.2,22.9,0.189,0.315,0.243,25.3
Suarez, José,660761,LAA,FF,4-Seamer,0.6,4,656,39.8,151,0.303,0.553,0.395,18.2,16.6,13.9,0.328,0.537,0.409,42.6
Smith, Will,519293,ATL,FF,4-Seamer,-0.3,-2,510,47.3,151,0.25,0.469,0.361,18.4,21.2,22.1,0.266,0.473,0.366,52
Quantrill, Cal,615698,CLE,FC,Cutter,-1.9,-12,613,26,151,0.201,0.324,0.274,28.6,21.2,17.9,0.247,0.395,0.306,37
Miley, Wade,489119,CIN,FF,4-Seamer,-0.8,-4,423,16.3,151,0.252,0.345,0.295,17.5,25.8,17.1,0.235,0.39,0.3,40
Manoah, Alek,666201,TOR,FF,4-Seamer,-0.8,-6,668,36.2,150,0.2,0.331,0.29,32.5,32,21.6,0.174,0.326,0.275,34.1
Familia, Jeurys,544727,NYM,SIFT,Sinker,0.2,1,601,59.1,150,0.283,0.543,0.4,23.5,18.7,28.3,0.26,0.429,0.322,40.2
Pivetta, Nick,601713,BOS,CUKC,Curveball,-0.9,-6,651,23.7,150,0.165,0.295,0.235,26.4,39.3,22.6,0.179,0.304,0.236,32.9
McHugh, Collin,543521,TB,SL,Slider,-2.5,-13,514,52.9,150,0.177,0.262,0.223,30.8,32.7,22.7,0.179,0.26,0.219,23.9
Oviedo, Johan,670912,STL,FF,4-Seamer,0.4,2,579,53.3,150,0.25,0.347,0.329,13.6,11.3,12.2,0.279,0.395,0.354,41.3
Happ, J.A.,457918,STL,SIFT,Sinker,-0.1,0,471,17.6,150,0.319,0.433,0.343,14.8,10.7,14.3,0.309,0.482,0.353,37.8
DeSclafani, Anthony,543101,SF,FF,4-Seamer,-0.6,-4,692,27.1,149,0.25,0.432,0.327,22.7,15.4,13.1,0.245,0.461,0.333,42.5
Maeda, Kenta,628317,MIN,FS,Splitter,0.7,4,505,28.5,149,0.229,0.34,0.268,33,30.2,22.4,0.223,0.318,0.245,39
Cessa, Luis,570666,CIN,SL,Slider,-0.4,-2,538,56.7,149,0.237,0.348,0.304,31.4,22.8,20.6,0.24,0.344,0.289,29.4
Manning, Matt,666159,DET,FF,4-Seamer,0.5,3,589,41.4,148,0.266,0.406,0.335,17.2,16.2,14.6,0.258,0.422,0.341,39.6
Crowe, Wil,640444,PIT,SL,Slider,1.1,6,537,24.7,148,0.233,0.436,0.321,29,24.3,19,0.248,0.435,0.327,31.3
Irvin, Cole,608344,OAK,SIFT,Sinker,1,5,511,19.1,148,0.333,0.496,0.419,16.5,12.8,18.6,0.302,0.478,0.377,45.9
Kremer, Dean,665152,BAL,FF,4-Seamer,0.6,4,549,55.7,148,0.29,0.581,0.413,14.7,15.5,16.2,0.277,0.523,0.385,51
Webb, Logan,657277,SF,CH,Changeup,-0.4,-2,522,23.6,147,0.263,0.365,0.31,29.3,23.1,18.9,0.253,0.34,0.283,38.5
Bassitt, Chris,605135,OAK,FF,4-Seamer,-1.4,-6,457,19.2,147,0.185,0.281,0.228,26.7,37.4,20.2,0.173,0.263,0.22,33.7
Soto, Gregory,642397,DET,SIFT,Sinker,1,7,623,55.1,147,0.265,0.41,0.375,18.6,18.4,17.3,0.234,0.398,0.35,35.5
Snell, Blake,605483,SD,SL,Slider,-1.1,-6,572,24.4,147,0.153,0.26,0.23,46.4,44.2,29,0.177,0.31,0.259,36.8
Boyd, Matthew,571510,DET,FF,4-Seamer,-0.3,-2,535,42,147,0.276,0.433,0.347,18,14.3,13.6,0.245,0.451,0.336,42.2
Hernandez, Darwinzon,650382,BOS,FF,4-Seamer,-0.5,-3,551,73.1,147,0.182,0.282,0.32,30.8,27.2,25,0.213,0.336,0.343,37
Richards, Trevor,670950,TOR,FF,4-Seamer,-2.3,-14,602,56.7,146,0.159,0.333,0.251,23.3,23.3,20.9,0.231,0.456,0.325,47.5
Minor, Mike,501985,KC,CH,Changeup,1.4,7,514,19.6,146,0.257,0.4,0.301,30.7,17.1,15.1,0.258,0.405,0.297,24.1
Bleier, Richard,542947,MIA,SIFT,Sinker,-2.7,-12,422,61.6,145,0.283,0.333,0.283,14.2,10.3,21.1,0.276,0.361,0.297,42.9
Lyles, Jordan,543475,TEX,CUKC,Curveball,1.8,10,541,18.3,145,0.314,0.496,0.363,24.5,25.5,19.9,0.276,0.441,0.326,44.6
Scherzer, Max,453286,LAD,SL,Slider,-2.6,-15,551,19.5,145,0.143,0.271,0.202,48.5,42.1,28.6,0.16,0.3,0.21,28.7
Bieber, Shane,669456,CLE,CUKC,Curveball,0,0,487,31.2,145,0.233,0.333,0.319,41.8,37.9,29.1,0.233,0.376,0.314,36
Sborz, Josh,622250,TEX,FF,4-Seamer,-0.1,-1,588,54.5,144,0.226,0.363,0.312,27.7,22.2,18.8,0.24,0.383,0.321,44.6
Chargois, JT,608638,TB,SL,Slider,-0.5,-3,522,59.6,144,0.178,0.364,0.281,33.8,31.9,22.3,0.209,0.379,0.287,37.6
Kimbrel, Craig,518886,CWS,FF,4-Seamer,-0.9,-5,585,58,144,0.18,0.385,0.293,33.2,36.8,27.5,0.177,0.335,0.279,48.6
Hudson, Daniel,543339,SD,FF,4-Seamer,0,0,590,68.2,143,0.246,0.444,0.341,28.3,29.4,23,0.233,0.466,0.327,47.7
Pineda, Michael,501381,MIN,SL,Slider,0.1,1,494,28.9,143,0.199,0.346,0.267,37.7,35,20.2,0.208,0.312,0.247,33.7
Gibson, Kyle,502043,PHI,SL,Slider,-0.4,-2,462,16,143,0.18,0.331,0.256,43.6,42,27.9,0.166,0.248,0.214,31.5
Bumgarner, Madison,518516,ARI,CUKC,Curveball,-0.1,-1,497,21.7,143,0.235,0.402,0.303,32.9,32.9,26.3,0.221,0.391,0.284,34.5
Hentges, Sam,656529,CLE,FF,4-Seamer,2.8,15,522,41.4,142,0.403,0.637,0.481,10.5,5.6,7.7,0.347,0.668,0.458,47
Díaz, Edwin,621242,NYM,FF,4-Seamer,0.6,4,621,62.2,141,0.233,0.379,0.333,25.7,24.8,19.2,0.223,0.356,0.314,28.2
Walker, Taijuan,592836,NYM,SL,Slider,0.3,2,545,21.4,141,0.183,0.298,0.25,25.4,22,16.9,0.244,0.414,0.302,39.2
