year,last_name, first_name,player_id,pitch_hand,api_pitch_type,n_pitches,release_speed,spin_rate,movement_inches,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,api_pitch_name,active_spin_formatted,hawkeye_measured_clock_minutes,movement_inferred_clock_minutes,diff_measured_inferred,diff2,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm,hawkeye_measured_clock_label,movement_inferred_clock_label,diff_clock_label
,Webb, Jacob,657097,R,CH,261,83.7,2265,18.9,0.8740196572728471,0.968840187701504,112.94966368099927,110.45737089446035,Changeup,97,135,135,2.4922927865389113,2.492292786538911,0,2,15,2,15,0,0,2:15,2:15, 0H 00M
,Means, John,607644,L,CH,635,83.4,2256,20.9,0.9267716937069491,0.9810228275943846,225.71692935922422,220.49158077064132,Changeup,98,630,645,5.225348588582904,5.225348588582898,-15,10,30,10,45,0,15,10:30,10:45,-0H 15M
,Lester, Jon,452657,L,CH,429,81.3,1735,12.7,0.6370516008893722,0.7117819031061129,208.12606098918027,244.97722699158567,Changeup,71,660,585,-36.85116600240539,36.85116600240539,75,11,0,9,45,1,15,11:00,9:45,+1H 15M
,Bubic, Kris,663460,L,CH,677,80,1603,14.8,0.7758573868724599,0.9651324289701849,242.82057685067034,246.10479760714776,Changeup,97,600,585,-3.284220756477424,3.2842207564774175,15,10,0,9,45,0,15,10:00,9:45,+0H 15M
,Webb, Logan,657277,R,CH,501,86.1,1474,11.7,0.6487447824383595,0.7884465732289567,90.7380731170232,53.45638258687346,Changeup,79,180,255,37.281690530149746,37.281690530149746,-75,3,0,4,15,1,15,3:00,4:15,-1H 15M
,Moore, Matt,519043,L,CH,241,82.5,1840,18.6,0.9136016499005191,0.9839235645768307,249.73131949825378,252.36764010331697,Changeup,98,585,570,-2.63632060506319,2.6363206050632186,15,9,45,9,30,0,15,9:45,9:30,+0H 15M
,Minor, Mike,501985,L,CH,512,85.2,2237,20.5,0.9439028202585862,0.967222459931733,228.29077755513435,239.42704878188817,Changeup,97,630,600,-11.13627122675382,11.136271226753806,30,10,30,10,0,0,30,10:30,10:00,+0H 30M
,Miley, Wade,489119,L,CH,676,81.9,1802,16.4,0.821582707231323,0.8621382172682208,225.81148231385214,251.12688229903108,Changeup,86,630,585,-25.315399985178942,25.315399985178974,45,10,30,9,45,0,45,10:30,9:45,+0H 45M
,Gallen, Zac,668678,R,CH,305,86.1,1479,13.6,0.7723991727933883,0.8939339996062964,129.37666143440745,100.66724615892109,Changeup,89,105,165,28.709415275486364,28.709415275486382,-60,1,45,2,45,1,0,1:45,2:45,-1H 00M
,Snell, Blake,605483,L,CH,231,88.3,1725,16.3,0.8487701001355105,0.9752984746199501,222.97103035966154,233.08000590136365,Changeup,98,630,615,-10.108975541702108,10.108975541702124,15,10,30,10,15,0,15,10:30,10:15,+0H 15M
,Smith, Caleb,592761,L,CH,304,82.1,2002,19.6,0.9471832443801075,0.9944602526103907,231.57675080436542,228.51571102177627,Changeup,99,615,630,3.061039782589148,3.061039782589196,-15,10,15,10,30,0,15,10:15,10:30,-0H 15M
